#Earth,#everything,#ISO/IEC #RFC #norm #consensus #informal
@Twitter,#standards,@isostandards @IECStandards @ietf #normative #consensus #informal
@Twitter,#ICT,#IT @Dijkstra @Microsoft #programming #math #React #GraphQL #unix #hardware #bikes #life #URL
